work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL267162W,-4.8702,-3.491231,6.0400767,-10.717127,0.0,0.0,0.0,0.0
OL267171W,-4.822167,-3.5390937,6.0400825,-10.717129,-14.104195,9.939938,23.67703,-2.8453352
OL14936838W,-9.661235,-4.694549,0.0,0.0,0.0,0.0,0.0,0.0
OL731735W,1.7148571,-3.8971126,-22.170647,14.610296,0.0,0.0,0.0,0.0
OL731734W,-8.672807,-4.2664433,-21.770683,14.3018465,0.0,0.0,0.0,0.0
OL731663W,-1.9630289,-5.4095507,0.0,0.0,-24.739573,6.3537617,0.0,0.0
OL731731W,-8.895958,-3.8392227,0.0,0.0,0.0,0.0,0.0,0.0
OL731737W,0.85562897,-3.7794366,-21.831322,14.275922,0.0,0.0,0.0,0.0
OL731732W,-4.0301495,-5.27614,0.0,0.0,2.563293,4.870027,-20.592113,27.618334
OL731728W,-9.722192,-8.19954,0.0,0.0,-2.0661404,3.8827643,-9.721929,26.973915
OL731717W,-7.23123,-6.5686855,-21.756884,14.231242,-24.71266,6.2379913,3.2978587,-9.263189
OL15856625W,-9.596409,-6.3189764,0.0,0.0,0.0,0.0,0.0,0.0
OL6215253W,-6.7271037,-4.3989916,0.0,0.0,0.0,0.0,0.0,0.0
OL108869W,-7.3290772,0.669159,0.0,0.0,0.0,0.0,0.0,0.0
OL18284470W,-3.2691565,-4.122979,0.0,0.0,0.0,0.0,0.0,0.0
OL2917271W,-9.085269,-5.8945947,0.0,0.0,0.0,0.0,0.0,0.0
OL1937853W,-2.6046638,-3.0885072,0.0,0.0,-24.700693,6.286757,0.0,0.0
OL28299W,-3.6188128,-4.053097,0.0,0.0,-0.06839118,3.6367621,0.0,0.0
OL23876138W,-7.6002846,-3.6611621,0.0,0.0,-24.690748,6.2594686,0.0,0.0
OL1898163W,-6.985554,-4.477548,0.0,0.0,7.306594,4.857254,-22.446274,26.43817
OL74664W,-4.7233543,-5.1464405,-17.660667,16.732277,-17.466894,8.08596,-14.9909935,29.932297
OL1959419W,-8.314911,-6.193065,0.0,0.0,0.0,0.0,0.0,0.0
OL10341975W,-4.8244324,-3.4319997,0.0,0.0,0.0,0.0,0.0,0.0
OL274574W,-4.2992177,-3.5342495,-23.064487,14.444158,-6.2515254,-15.2137785,2.5308158,-8.457626
OL468850W,-1.9406297,-5.472201,-22.17047,14.964644,7.5040054,5.065506,0.0,0.0
OL274553W,-6.7950773,-6.365456,-20.851831,18.461304,0.0,0.0,3.4725144,-9.373483
OL468803W,-4.3182034,-3.5530899,0.0,0.0,-6.2515454,-15.213802,0.0,0.0
OL7920354W,-8.626563,-4.9527597,0.0,0.0,0.0,0.0,0.0,0.0
OL4759493W,-9.999108,-5.0611324,0.0,0.0,0.0,0.0,0.0,0.0
OL2651102W,-8.045878,-7.3879313,0.0,0.0,0.0,0.0,0.0,0.0
OL8875431W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL31206378W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL2088400W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL8219461W,-11.014941,-9.287476,0.0,0.0,0.0,0.0,0.0,0.0
OL38494W,-3.8110068,-6.886605,0.0,0.0,0.0,0.0,0.0,0.0
OL14911612W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL38483W,-3.7448616,-6.0729723,0.0,0.0,3.8856535,26.445942,-7.6689873,29.247763
OL38495W,-3.7405932,-5.7040563,-15.552899,15.954273,-2.8717053,11.885056,-7.679942,29.795618
OL14911607W,-3.2827373,-7.0193915,0.0,0.0,0.0,0.0,0.0,0.0
OL38467W,-2.3816922,-4.670544,0.0,0.0,0.0,0.0,0.0,0.0
OL38499W,1.7880114,-3.437887,0.0,0.0,10.329514,-13.883069,0.0,0.0
OL14911628W,-6.461915,-5.4723573,0.0,0.0,0.0,0.0,0.0,0.0
OL38481W,-3.692778,-6.190035,-15.553263,15.937238,-17.878807,10.197807,0.0,0.0
OL38501W,1.5009297,-3.3343198,0.0,0.0,-18.29973,7.267594,-11.104554,8.372892
OL15893911W,-8.953725,-3.0155752,0.0,0.0,0.0,0.0,0.0,0.0
